shape,ka,mesh_label,component,rel_l2,rel_l2_percent,pass10,status,bem_file,reference
пылевая частица,20.0,gmsh4200,M12,0.0527580186142847,5.27580186142847,True,PASS,runs/production_matrix_15_complexop/dust_ka20_gmsh4200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,20.0,gmsh4200,M34,0.0434179735450989,4.3417973545098905,True,PASS,runs/production_matrix_15_complexop/dust_ka20_gmsh4200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,20.0,gmsh4200,gate,0.0581888771747254,5.81888771747254,True,PASS,runs/production_matrix_15_complexop/dust_ka20_gmsh4200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,20.0,gmsh4200,max main floor,0.0581888771747254,5.81888771747254,True,PASS,runs/production_matrix_15_complexop/dust_ka20_gmsh4200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,30.0,gmsh7000,M11,0.0222565848809959,2.22565848809959,True,PASS,runs/production_matrix_15_complexop/dust_ka30_gmsh7000_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,30.0,gmsh7000,M12,0.0320721209470577,3.20721209470577,True,PASS,runs/production_matrix_15_complexop/dust_ka30_gmsh7000_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,30.0,gmsh7000,M34,0.0205861778212914,2.05861778212914,True,PASS,runs/production_matrix_15_complexop/dust_ka30_gmsh7000_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,30.0,gmsh7000,gate,0.0320721209470577,3.20721209470577,True,PASS,runs/production_matrix_15_complexop/dust_ka30_gmsh7000_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,30.0,gmsh7000,max main floor,0.0320721209470577,3.20721209470577,True,PASS,runs/production_matrix_15_complexop/dust_ka30_gmsh7000_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
сфера,5.0,ref4,M11,0.0060311846917047,0.60311846917047,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka5_ref4.json,ADDA-OCL
сфера,5.0,ref4,M12,0.0111247429276639,1.11247429276639,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka5_ref4.json,ADDA-OCL
сфера,5.0,ref4,M34,0.0021348339227519,0.21348339227519,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka5_ref4.json,ADDA-OCL
сфера,5.0,ref4,gate,0.0111248485920679,1.11248485920679,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka5_ref4.json,ADDA-OCL
сфера,5.0,ref4,max main floor,0.0111248485920679,1.11248485920679,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka5_ref4.json,ADDA-OCL
сфера,10.0,ref4,M11,0.0130334972654086,1.30334972654086,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka10_ref4.json,ADDA-OCL
сфера,10.0,ref4,M12,0.0106097593282378,1.06097593282378,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka10_ref4.json,ADDA-OCL
сфера,10.0,ref4,M34,0.0109590308595383,1.09590308595383,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka10_ref4.json,ADDA-OCL
сфера,10.0,ref4,gate,0.0130334972654086,1.30334972654086,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka10_ref4.json,ADDA-OCL
сфера,10.0,ref4,max main floor,0.0130334972654086,1.30334972654086,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka10_ref4.json,ADDA-OCL
сфера,15.0,ref4,M11,0.0131516275100361,1.31516275100361,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka15_ref4.json,ADDA-OCL
сфера,15.0,ref4,M12,0.0113229888428141,1.1322988842814101,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka15_ref4.json,ADDA-OCL
сфера,15.0,ref4,M34,0.0146933587147618,1.46933587147618,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka15_ref4.json,ADDA-OCL
сфера,15.0,ref4,gate,0.0146934972280086,1.46934972280086,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka15_ref4.json,ADDA-OCL
сфера,15.0,ref4,max main floor,0.0146934972280086,1.46934972280086,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka15_ref4.json,ADDA-OCL
сфера,20.0,ref4,M11,0.0115426369281944,1.15426369281944,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka20_ref4.json,ADDA-OCL
сфера,20.0,ref4,M12,0.0082374220209104,0.82374220209104,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka20_ref4.json,ADDA-OCL
сфера,20.0,ref4,M34,0.009141969279695,0.9141969279694999,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka20_ref4.json,ADDA-OCL
сфера,20.0,ref4,gate,0.0122220488821093,1.22220488821093,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka20_ref4.json,ADDA-OCL
сфера,20.0,ref4,max main floor,0.0122220488821093,1.22220488821093,True,PASS,runs/recompute_convergence_meta_20260619/sphere_ka20_ref4.json,ADDA-OCL
сфера,30.0,ref6,M11,0.0173381322214549,1.7338132221454898,True,PASS,runs/production_matrix_15/sphere_ka30_ref6_q7_d7_tol1e2.json,Mie
сфера,30.0,ref6,gate,0.0173381322214549,1.7338132221454898,True,PASS,runs/production_matrix_15/sphere_ka30_ref6_q7_d7_tol1e2.json,Mie
сфера,30.0,ref6,max main floor,0.0173381322214549,1.7338132221454898,True,PASS,runs/production_matrix_15/sphere_ka30_ref6_q7_d7_tol1e2.json,Mie
