shape,ka,mesh_ref,component,rel_l2,bem_theta_count,adda_theta_count,bem_m11_0,adda_m11_0,m11_0_ratio_bem_over_adda,rel_l2_global_s110,mean_abs_floor2_global_s110,bem_time_s,bem_ka,adda_ka_eq,ka_ratio_bem_over_adda,bem_file,adda_ocl_file
гексагональная призма,20.0,4,M11,0.07830819190817456,181,182,9049.83023,11733.670639,0.77127017694876,0.07830819190817456,0.0611132734468246,141.373,20.0,20.0,1.0,runs/hex_accuracy_diagnostics/hex_ka20_ref4_d4_tol1e3_noprec.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,20.0,4,M12,1.1443174477743412,181,182,9049.83023,11733.670639,0.77127017694876,0.7075079900539738,0.04015017127242092,141.373,20.0,20.0,1.0,runs/hex_accuracy_diagnostics/hex_ka20_ref4_d4_tol1e3_noprec.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,20.0,4,M22,0.024480446371660466,181,182,9049.83023,11733.670639,0.77127017694876,0.07824405189646341,0.06095061640172887,141.373,20.0,20.0,1.0,runs/hex_accuracy_diagnostics/hex_ka20_ref4_d4_tol1e3_noprec.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,20.0,4,M33,0.5756157161847699,181,182,9049.83023,11733.670639,0.77127017694876,0.07810541294032818,0.06105393636966426,141.373,20.0,20.0,1.0,runs/hex_accuracy_diagnostics/hex_ka20_ref4_d4_tol1e3_noprec.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,20.0,4,M34,1.1468859528872442,181,182,9049.83023,11733.670639,0.77127017694876,0.7055356240077011,0.03308102659187947,141.373,20.0,20.0,1.0,runs/hex_accuracy_diagnostics/hex_ka20_ref4_d4_tol1e3_noprec.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,20.0,4,M44,0.5588298860533255,181,182,9049.83023,11733.670639,0.77127017694876,0.07816510306766995,0.060947656612547266,141.373,20.0,20.0,1.0,runs/hex_accuracy_diagnostics/hex_ka20_ref4_d4_tol1e3_noprec.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,20.0,5,M11,0.23374041341120705,181,182,21318.3685,11733.670639,1.8168541759765002,0.23374041341120705,0.19594472167149474,297.78,20.0,20.0,1.0,runs/poster_hex_ref_improve/hex_ka20_ref5_n181.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,20.0,5,M12,1.3277815645379663,181,182,21318.3685,11733.670639,1.8168541759765002,1.3352505997870225,0.08809202672877903,297.78,20.0,20.0,1.0,runs/poster_hex_ref_improve/hex_ka20_ref5_n181.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,20.0,5,M22,0.003146229846076546,181,182,21318.3685,11733.670639,1.8168541759765002,0.23374511825995714,0.19593060555220215,297.78,20.0,20.0,1.0,runs/poster_hex_ref_improve/hex_ka20_ref5_n181.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,20.0,5,M33,0.5355685083804683,181,182,21318.3685,11733.670639,1.8168541759765002,0.23442341345339435,0.19372071534722504,297.78,20.0,20.0,1.0,runs/poster_hex_ref_improve/hex_ka20_ref5_n181.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
